data,trip_creation_time,route_schedule_uuid,route_type,trip_uuid,source_center,source_name,destination_center,destination_name,od_start_time,od_end_time,start_scan_to_end_scan,is_cutoff,cutoff_factor,cutoff_timestamp,actual_distance_to_destination,actual_time,osrm_time,osrm_distance,factor,segment_actual_time,segment_osrm_time,segment_osrm_distance,segment_factor
training,37:11.2,thanos::sroute:7af51efd-ae4d-49bc-9b68-345abe68ace5,FTL,trip-153709783119666611,IND562132AAA,Bangalore_Nelmngla_H (Karnataka),IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),37:11.2,21:59.2,3284,TRUE,770,17-09-2018 19:19,771.7658385008692,1318,789,1055.4715,1.670468948035488,30,18,26.4909,1.6666666666666667
training,37:11.2,thanos::sroute:7af51efd-ae4d-49bc-9b68-345abe68ace5,FTL,trip-153709783119666611,IND562132AAA,Bangalore_Nelmngla_H (Karnataka),IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),37:11.2,21:59.2,3284,TRUE,792,17-09-2018 18:17,792.5249850557819,1380,800,1109.069,1.725,62,15,21.6578,4.133333333333334
training,37:11.2,thanos::sroute:7af51efd-ae4d-49bc-9b68-345abe68ace5,FTL,trip-153709783119666611,IND562132AAA,Bangalore_Nelmngla_H (Karnataka),IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),37:11.2,21:59.2,3284,TRUE,814,17-09-2018 17:43,815.5856181819744,1414,820,1136.2438,1.724390243902439,33,20,27.9584,1.65
training,37:11.2,thanos::sroute:7af51efd-ae4d-49bc-9b68-345abe68ace5,FTL,trip-153709783119666611,IND562132AAA,Bangalore_Nelmngla_H (Karnataka),IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),37:11.2,21:59.2,3284,TRUE,836,17-09-2018 15:49,836.7451664136116,1528,831,1133.7856000000002,1.838748495788207,113,22,31.1579,5.136363636363637
training,37:11.2,thanos::sroute:7af51efd-ae4d-49bc-9b68-345abe68ace5,FTL,trip-153709783119666611,IND562132AAA,Bangalore_Nelmngla_H (Karnataka),IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),37:11.2,21:59.2,3284,TRUE,858,17-09-2018 15:15,858.0293413809708,1561,849,1160.1672,1.838633686690224,33,18,26.3816,1.8333333333333333
training,37:11.2,thanos::sroute:7af51efd-ae4d-49bc-9b68-345abe68ace5,FTL,trip-153709783119666611,IND562132AAA,Bangalore_Nelmngla_H (Karnataka),IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),37:11.2,21:59.2,3284,TRUE,880,17-09-2018 14:27,880.0971359349029,1610,870,1189.1086,1.8505747126436785,48,20,28.9414,2.4
training,37:11.2,thanos::sroute:7af51efd-ae4d-49bc-9b68-345abe68ace5,FTL,trip-153709783119666611,IND562132AAA,Bangalore_Nelmngla_H (Karnataka),IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),37:11.2,21:59.2,3284,TRUE,902,17-09-2018 13:31,903.8292832,1666,896,1225.9189,1.859375,56,28,36.8287,2
training,37:11.2,thanos::sroute:7af51efd-ae4d-49bc-9b68-345abe68ace5,FTL,trip-153709783119666611,IND562132AAA,Bangalore_Nelmngla_H (Karnataka),IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),37:11.2,21:59.2,3284,TRUE,924,17-09-2018 12:57,924.4060281650824,1700,917,1256.8697,1.8538713195201744,33,21,30.9508,1.5714285714285714
training,37:11.2,thanos::sroute:7af51efd-ae4d-49bc-9b68-345abe68ace5,FTL,trip-153709783119666611,IND562132AAA,Bangalore_Nelmngla_H (Karnataka),IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),37:11.2,21:59.2,3284,TRUE,946,17-09-2018 11:59,951.5751415900172,1757,939,1288.0318,1.871139510117146,57,22,31.162,2.590909090909091
training,37:11.2,thanos::sroute:7af51efd-ae4d-49bc-9b68-345abe68ace5,FTL,trip-153709783119666611,IND562132AAA,Bangalore_Nelmngla_H (Karnataka),IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),37:11.2,21:59.2,3284,TRUE,968,17-09-2018 11:21,969.5760055767512,1795,956,1312.0154,1.8776150627615065,38,16,23.9837,2.375
training,37:11.2,thanos::sroute:7af51efd-ae4d-49bc-9b68-345abe68ace5,FTL,trip-153709783119666611,IND562132AAA,Bangalore_Nelmngla_H (Karnataka),IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),37:11.2,21:59.2,3284,TRUE,990,17-09-2018 11:01,991.0767944036752,1816,977,1340.2692,1.8587512794268168,20,20,28.2537,1
training,37:11.2,thanos::sroute:7af51efd-ae4d-49bc-9b68-345abe68ace5,FTL,trip-153709783119666611,IND562132AAA,Bangalore_Nelmngla_H (Karnataka),IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),37:11.2,21:59.2,3284,TRUE,1012,17-09-2018 10:23,1012.3450896439394,1854,992,1361.9623,1.8689516129032255,38,28,39.3164,1.3571428571428572
training,37:11.2,thanos::sroute:7af51efd-ae4d-49bc-9b68-345abe68ace5,FTL,trip-153709783119666611,IND562132AAA,Bangalore_Nelmngla_H (Karnataka),IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),37:11.2,21:59.2,3284,TRUE,1034,17-09-2018 09:51,1034.8951788608556,1886,1017,1398.3963,1.8544739429695185,32,25,36.4341,1.28
training,37:11.2,thanos::sroute:7af51efd-ae4d-49bc-9b68-345abe68ace5,FTL,trip-153709783119666611,IND562132AAA,Bangalore_Nelmngla_H (Karnataka),IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),37:11.2,21:59.2,3284,TRUE,1056,17-09-2018 09:29,1056.240478580355,1907,1035,1423.5221,1.842512077294686,21,17,25.1257,1.2352941176470589
training,37:11.2,thanos::sroute:7af51efd-ae4d-49bc-9b68-345abe68ace5,FTL,trip-153709783119666611,IND562132AAA,Bangalore_Nelmngla_H (Karnataka),IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),37:11.2,21:59.2,3284,TRUE,1078,17-09-2018 09:03,1078.6945534863632,1934,1055,1452.2851,1.833175355450237,26,19,28.7774,1.368421052631579
training,37:11.2,thanos::sroute:7af51efd-ae4d-49bc-9b68-345abe68ace5,FTL,trip-153709783119666611,IND562132AAA,Bangalore_Nelmngla_H (Karnataka),IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),37:11.2,21:59.2,3284,TRUE,1100,17-09-2018 08:41,1100.060784532575,1956,1072,1476.6207,1.8246268656716416,21,16,24.3356,1.3125
training,37:11.2,thanos::sroute:7af51efd-ae4d-49bc-9b68-345abe68ace5,FTL,trip-153709783119666611,IND562132AAA,Bangalore_Nelmngla_H (Karnataka),IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),37:11.2,21:59.2,3284,TRUE,1122,17-09-2018 08:13,1123.3256727615037,1983,1093,1504.435,1.8142726440988104,27,21,27.8142,1.2857142857142858
training,37:11.2,thanos::sroute:7af51efd-ae4d-49bc-9b68-345abe68ace5,FTL,trip-153709783119666611,IND562132AAA,Bangalore_Nelmngla_H (Karnataka),IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),37:11.2,21:59.2,3284,TRUE,1144,17-09-2018 07:49,1144.6926018331308,2007,1110,1528.5952,1.808108108108108,24,17,24.1602,1.411764705882353
training,37:11.2,thanos::sroute:7af51efd-ae4d-49bc-9b68-345abe68ace5,FTL,trip-153709783119666611,IND562132AAA,Bangalore_Nelmngla_H (Karnataka),IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),37:11.2,21:59.2,3284,TRUE,1166,17-09-2018 06:43,1169.332657297342,2073,1129,1554.5335,1.8361381753764396,65,19,25.9383,3.421052631578948
training,37:11.2,thanos::sroute:7af51efd-ae4d-49bc-9b68-345abe68ace5,FTL,trip-153709783119666611,IND562132AAA,Bangalore_Nelmngla_H (Karnataka),IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),37:11.2,21:59.2,3284,TRUE,1188,17-09-2018 06:25,1188.8560223619825,2092,1143,1574.3736,1.830271216097988,18,14,19.8401,1.2857142857142858
training,37:11.2,thanos::sroute:7af51efd-ae4d-49bc-9b68-345abe68ace5,FTL,trip-153709783119666611,IND562132AAA,Bangalore_Nelmngla_H (Karnataka),IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),37:11.2,21:59.2,3284,TRUE,1210,17-09-2018 05:37,1210.591521130995,2140,1170,1628.7927,1.829059829059829,48,31,47.1309,1.5483870967741935
